SourceId,TargetId
310f8ee2-dc2f-497b-b7bf-be9d89967b02,12a1e996-2519-4fdc-849a-1fb83ef2494b
7a06c082-4c1c-4af7-9592-7bb7bb1cec6b,5a4d4dc0-53d7-4784-9da9-4c4d0dc98ff5
5a7ecbe0-f62c-4874-9b73-784e263e3124,9870d05e-72a0-48eb-b293-e42a392f19e7
d55fe885-5b30-4e94-880d-22709b5547bc,348b0aeb-fe95-4d25-a79e-552d6e40658c
87b3d56e-3b80-4178-bbaa-d33aed9833b2,7d89cb72-8716-4200-ad0a-98c73d1777f2
82f8786d-be89-46a0-a826-9a7a354f9cd9,fdefc4f5-391c-4be2-9147-6fda760b584c
604c91a6-28ec-46fb-8131-1d04da4dbfc0,896758c7-b9b8-4762-a3e3-46960029bca2
b93cda74-ff4c-42c7-bcde-5dd60bd5aa3c,78526d6a-d0bc-42d7-8b4f-5060c2207bdf
78772dff-9132-4256-894d-c6b163920ad7,e0af4423-fbe5-4621-b3ec-002537ae27ce
aa810715-d22a-40af-854c-55b23ae0d404,dd9e58d5-77b6-4ff6-848f-0d4bcd1c39af
0cda3d95-1b7c-402d-b60a-8ce7f7c4bc55,9b05a90d-94c3-4ed2-9d32-5aba40ce6365
35b73dae-dec6-4bde-81bc-876e9de4a18c,1cc17d69-071a-4b5a-8b73-3b7b859913b2
eef6a362-f202-4c54-9fe7-938585383e2a,b97f5494-b7ce-4c5c-9373-587a1e0c4ce2
e24cb682-a738-471b-841b-3f46e24f3584,dabd60c8-3dca-43d5-b7a2-de59af5a4848
16936e76-639e-468c-ae71-8b83b053b27b,6826c1d9-1685-463f-9374-58db55feadfd
7431ab7f-0481-40f3-88dd-f20b3fa58fb9,e9b40827-d25e-40b5-ad60-6c671ce1af93
e0eaf292-f91b-4940-9385-6ee119e4c6bf,541edf37-afef-4a3b-9c49-53d978eedab4
862aeebd-e0d8-4683-bd44-a931dc5b2f46,96fc66e3-3451-4647-b601-34aa9d7ab87c
045923d7-8fbf-4634-a37c-04f9172e9ac0,a489bc29-66b2-4491-9b34-9c73b82a19d2
e177dcb1-3b03-46f6-8b19-d760efc87bb2,851c0f01-32df-4327-bd9c-417919381c6f
34d343c8-ad3d-402f-a581-4f0e35c3bf26,45b160b3-a20c-4ae7-b85d-e0f0890ab1f1
e27410dd-ebaf-42ef-bf0a-bba65e26dad5,3127a9e1-f374-44ec-a48d-2e166780f865
53ef0e3e-6d89-4fdd-a41d-4f3d1165a2cf,7ff61fab-1ba3-4f7b-b4e6-9272418a1e4f
faabdcf7-253c-4e55-93ea-d9ddac4ff0c6,7df41da5-7e11-41c6-9e8f-cd7c7b2bf5c0
de50bf30-b774-401e-a12d-a12037ee534f,266a2745-5f59-44c7-9793-ffb1382f46e5
0151dfe5-0fa0-4c88-baae-cc962459809c,a573449c-b635-4543-9e9a-a48f58472301
86ce7536-336a-4eca-9779-44368239041f,c20b9b99-167e-4d42-9812-113c07ef350a
